URL	chrom://isq7ci1912004/ChromeleonLocal/AK Simat/2024/PVC Lina/2024-02_Vorversuche/2024-02_PVC-Tischde.seq/220.smp/TIC.channel/TIC.chm
Channel	TIC

Injection Information:
Data Vault	ChromeleonLocal
Sequence	2024-02_PVC-Tischde
Name	PVC-Tischdecke µC A 0,2g 50C 30min Split 1:20
Number	2
Position	66
Comment	ODP Lina
Processing Method	MS Quantitative
Instrument Method	manualTD-WAX-MS-O_L1
Type	Calibration Standard
Status	Finished
Inject Time	2/21/2024 9:15:20 AM +01:00
Volume (µl)	10.0
Dilution Factor	1.0000
Weight	1.0000

Chromatogram Data Information:
Time Min. (min)	0.033905
Time Max. (min)	50.003447
Data Points	55452
Detector	MSDevice
Generating Data System	Chromeleon 7.2.10 Build 23925 (cfd1e7af542fd56c07b8e0c2791055c459cfcf14)
Exporting Data System	Chromeleon 7.2.10.0
Operator	ISQ7000
Signal Quantity	Intensity
Signal Unit	counts
Signal Min.	13,079,911.128393
Signal Max.	5,872,703,630.459210
Channel	TIC
Driver Name	Thermo.MassSpectrometer
Channel Type	Evaluation
Min. Step (s)	0.054
Max. Step (s)	0.0541
Average Step (s)	0.05406886

Signal Parameter Information:
Signal Info	

Chromatogram Data:
Time (min)	Step (s)	Value (counts)
0.502502	0.054	18,116,379.669361
0.503403	0.0541	18,600,073.720969
0.504305	0.0541	18,648,338.607383
0.505207	0.0541	18,323,156.573073
0.506107	0.054	18,107,551.830291
0.507008	0.0541	18,140,634.154609
0.507910	0.0541	18,123,822.492136
0.508810	0.054	18,161,784.700631
0.509712	0.0541	18,250,770.050717
0.510613	0.0541	18,021,366.397991
0.511513	0.054	17,592,839.327910
0.512415	0.0541	17,337,479.789188
0.513317	0.0541	17,388,041.874549
0.514217	0.054	17,555,494.554254
0.515118	0.0541	17,535,813.370911
0.516020	0.0541	17,359,612.536426
0.516920	0.054	17,313,190.317901
0.517822	0.0541	17,517,700.145523
0.518723	0.0541	17,863,811.316375
0.519625	0.0541	18,141,841.275979
0.520525	0.054	18,290,808.324623
0.521427	0.0541	18,464,869.993847
0.522328	0.0541	18,661,740.543843
0.523228	0.054	18,817,489.656954
0.524130	0.0541	18,871,229.520384
0.525032	0.0541	18,786,743.605906
0.525932	0.054	18,663,430.905708
0.526833	0.0541	18,498,055.733276
0.527735	0.0541	18,173,473.984375
0.528635	0.054	17,762,740.196722
0.529537	0.0541	17,570,829.578882
0.530438	0.0541	17,592,108.700933
0.531338	0.054	17,717,439.274449
0.532240	0.0541	17,958,130.450943
0.533142	0.0541	18,179,345.456422
0.534043	0.0541	18,252,028.448188
0.534943	0.054	18,166,526.363683
0.535845	0.0541	18,129,992.005366
0.536747	0.0541	18,196,024.059129
0.537647	0.054	18,114,098.930048
0.538548	0.0541	17,945,213.397231
0.539450	0.0541	17,944,735.876217
0.540350	0.054	18,044,850.051805
0.541252	0.0541	18,085,591.260515
0.542153	0.0541	18,007,298.353400
0.543053	0.054	17,875,194.766062
0.543955	0.0541	17,896,265.866809
0.544857	0.0541	18,081,015.494591
0.545758	0.0541	18,110,761.107574
0.546658	0.054	17,875,755.447024
0.547560	0.0541	17,637,956.319797
